gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;danielle.snyder@example.com;016974 26907;07034 044245;GB;Mrs;Danielle;Snyder;5252;Queens Road;Newport;County Armagh;United Kingdom;ZL7 9FT;-11.7959;120.4361;+10:00;Eastern Australia, Guam, Vladivostok;3d7f8a92-24d2-4d83-8105-868b7f620795;goldenlion489;1982;qZj2Hpqg;6b702b580a7591e8cacd5a13d56f94bc;292bbf0f880f1be93551fab8a749651eac27ed83;ef3116b731a240e49f1c62e3d85495e879462d1126a11b0e0127b17ff0461d0c;1973-04-03T15:33:45.611Z;51;2016-06-20T09:38:51.239Z;7;NINO;YN 86 86 86 S;https://randomuser.me/api/portraits/women/45.jpg;https://randomuser.me/api/portraits/med/women/45.jpg;https://randomuser.me/api/portraits/thumb/women/45.jpg;17:32:27
male;bruce.arnold@example.com;07-1393-1065;0408-449-286;AU;Mr;Bruce;Arnold;867;Dogwood Ave;Traralgon;Australian Capital Territory;Australia;9781;27.1821;53.9370;+3:30;Tehran;334d2f8f-99c8-4c1e-8179-17f397700115;brownswan891;marker;jW9Rsqla;1d412774dcadb7c7f7852011e2d2545a;43f1e6c24813be4e9969bab7c8eef3df84326b12;069ef083728b11283a675a2fc2844665dff9333129814a6c66580b4062914e21;1971-06-18T07:08:45.045Z;52;2010-04-04T03:01:30.849Z;14;TFN;707460202;https://randomuser.me/api/portraits/men/93.jpg;https://randomuser.me/api/portraits/med/men/93.jpg;https://randomuser.me/api/portraits/thumb/men/93.jpg;17:32:27
female;caroline.moller@example.com;14687388;14569063;DK;Ms;Caroline;Møller;1951;Kastanie Alle;Ryslinge;Sjælland;Denmark;12098;43.3901;134.5459;0:00;Western Europe Time, London, Lisbon, Casablanca;f716cc13-d4b7-41af-b487-2344b4ae0b3e;organictiger742;california;MEY0vpdf;0dd6e040ca78b6ffdca21d8beaff1794;fee72294d564bd2cc4ee8996ff27d37430c44098;67b0df3d0150a00006ea02b355232c64822d97552388d377986034a4ef681c5b;1964-04-01T10:56:24.120Z;60;2017-10-10T15:54:21.692Z;6;CPR;010464-2368;https://randomuser.me/api/portraits/women/12.jpg;https://randomuser.me/api/portraits/med/women/12.jpg;https://randomuser.me/api/portraits/thumb/women/12.jpg;17:32:27
female;veronica.ramirez@example.com;979-267-384;631-801-536;ES;Mrs;Verónica;Ramírez;8882;Calle Covadonga;Pontevedra;Comunidad Valenciana;Spain;55732;36.6834;120.4379;+4:30;Kabul;4f3f8f7f-1118-4dc9-a50b-3c829faa12d0;sadgoose535;philippe;OnodcsaL;cbcaf13523a7d787df24123b0ade1d43;40c439a975618c2b16abac04dd751ef74226beda;7ac1b629ba84b05e53432cf094f7581548d67a50b8c18037a7fc0aa29cbe2de3;1946-09-04T11:33:56.317Z;77;2007-07-26T22:14:29.526Z;16;DNI;32252513-I;https://randomuser.me/api/portraits/women/10.jpg;https://randomuser.me/api/portraits/med/women/10.jpg;https://randomuser.me/api/portraits/thumb/women/10.jpg;17:32:27
female;latife.ozdenak@example.com;(390)-253-4742;(836)-137-8969;TR;Ms;Latife;Özdenak;9489;Bağdat Cd;Sivas;Kütahya;Turkey;76465;82.7374;71.0162;-8:00;Pacific Time (US & Canada);d9067167-378b-4b24-8f7c-e3b2b936e771;bluetiger793;worthy;OzyJEw04;25df69e19eaf949b882e3ba5a8b057f2;81c9daae717d3547bbe14a7ab06cf5221e14acb0;2d536682e614d8b4fdb30261291a40579ac474b2a1f8327bb0a915eef839bab8;1945-01-14T07:46:12.596Z;79;2003-07-08T23:48:38.272Z;20;;;https://randomuser.me/api/portraits/women/14.jpg;https://randomuser.me/api/portraits/med/women/14.jpg;https://randomuser.me/api/portraits/thumb/women/14.jpg;17:32:27
male;marion.sutton@example.com;07-0699-0531;0402-369-430;AU;Mr;Marion;Sutton;2711;Robinson Rd;Albany;Tasmania;Australia;9033;-36.2437;155.0761;+3:00;Baghdad, Riyadh, Moscow, St. Petersburg;3c2a1a3b-df70-4d0c-9e9d-adacab072091;whitedog696;maryann;coXuVvqe;1d2adce266abff6c8ac8534270e5ee74;580b53cf01129a6759e30a2a6c087f380ebef0e0;a0004db65b16d89cbd577a4bee8749aab0ca0eb0c1f0649fddb3ccbc6240a25b;1998-04-06T05:54:08.246Z;26;2017-07-23T13:40:17.448Z;6;TFN;350126806;https://randomuser.me/api/portraits/men/90.jpg;https://randomuser.me/api/portraits/med/men/90.jpg;https://randomuser.me/api/portraits/thumb/men/90.jpg;17:32:27
male;reginald.woods@example.com;015394 68439;07330 680842;GB;Mr;Reginald;Woods;556;Richmond Road;Lincoln;West Sussex;United Kingdom;VL4 5QF;-58.1536;135.3721;+5:30;Bombay, Calcutta, Madras, New Delhi;152cfb44-2093-4de7-aec2-4f630980c77f;yellowelephant770;michele;NF3AtlAn;7b929c28f5521128382966cbaedd2d78;253f2927dfbda3b75f8fde17af5026fdefc1be8b;996c157481cc14bf18d2761f6b99e0e1be52be03ad1a0c7ff0dc05eb39ab9a78;1947-05-15T22:47:34.870Z;76;2002-10-22T06:41:12.640Z;21;NINO;AW 31 31 84 R;https://randomuser.me/api/portraits/men/45.jpg;https://randomuser.me/api/portraits/med/men/45.jpg;https://randomuser.me/api/portraits/thumb/men/45.jpg;17:32:27
female;elizabeth.young@example.com;06-6021-0135;0446-154-905;AU;Ms;Elizabeth;Young;2164;Daisy Dr;Sunshine Coast;New South Wales;Australia;4331;-42.4942;110.0195;+11:00;Magadan, Solomon Islands, New Caledonia;9c0b6914-04f4-4a28-9736-ac097df53013;angryduck101;charmed;6VDLQals;1a13249e3f449ffa7c651fec2fb5ed51;025d11e00d74b0544d7855364c69ef867c2fc5b7;4be5fab449fa76e26d2e2c411a883e724ad6b7a82026e054880d0d86cc622f66;1959-06-21T20:22:00.802Z;64;2014-09-13T08:21:00.375Z;9;TFN;652447916;https://randomuser.me/api/portraits/women/78.jpg;https://randomuser.me/api/portraits/med/women/78.jpg;https://randomuser.me/api/portraits/thumb/women/78.jpg;17:32:27
male;bently.novak@example.com;E22 P64-8430;A37 P71-1063;CA;Mr;Bently;Novak;4226;36th Ave;Killarney;Saskatchewan;Canada;S4H 8C1;18.1895;145.9464;+3:30;Tehran;b5c227ad-b5ed-4278-ae1b-635ad5bfb6ae;organickoala787;aquarius;XkqeYufT;09d436910091d3bce47f2de8819dbfd1;d39935f0d35fc9116c7248aaa045655b1ec761d6;3a1f4297326df9402c98afc91d38ad5d5d808be51bf682d2cdffb148ae56d45f;1949-09-19T10:41:12.927Z;74;2011-05-08T02:18:54.520Z;12;SIN;598652246;https://randomuser.me/api/portraits/men/82.jpg;https://randomuser.me/api/portraits/med/men/82.jpg;https://randomuser.me/api/portraits/thumb/men/82.jpg;17:32:27
male;isaiah.payne@example.com;0116269 224 6573;07144 306609;GB;Mr;Isaiah;Payne;5012;Mill Road;St Albans;South Glamorgan;United Kingdom;RC86 1XJ;-51.8341;70.2342;+9:30;Adelaide, Darwin;88a33004-09bb-4570-81bf-3bc6d751e028;bluepeacock170;uptown;Z8erKG5J;adb1809ec772bca54c6f64c689b079e9;216e119bfba36598967f307a53a302f8f0579ba0;69fd0aa3138e33729b8d4be9a8e6eab05f7ec81d5589a7a4ee178196d0bc9db5;1953-04-09T04:37:02.242Z;71;2004-01-17T20:16:35.190Z;20;NINO;KM 87 75 15 X;https://randomuser.me/api/portraits/men/52.jpg;https://randomuser.me/api/portraits/med/men/52.jpg;https://randomuser.me/api/portraits/thumb/men/52.jpg;17:32:27
