gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
male;norman.sanchez@example.com;015242 98433;07402 479883;GB;Mr;Norman;Sanchez;1139;Kingsway;Manchester;Durham;United Kingdom;T0N 7TE;-10.4822;-166.8710;+9:30;Adelaide, Darwin;bce15850-6019-410d-b631-41e69bf62549;browncat328;harrier;AagJec2n;87008336440e19dcbbf12e471c7f8e2f;e9df6874ebba4300e61619a65ccee5c7c324fe0c;44b4608c8084cb2d945344239e41d40a67edbd3124365004e770b38fe3d3c60b;1950-01-08T00:16:18.952Z;74;2020-07-27T05:22:04.187Z;3;NINO;PC 82 66 62 G;https://randomuser.me/api/portraits/men/40.jpg;https://randomuser.me/api/portraits/med/men/40.jpg;https://randomuser.me/api/portraits/thumb/men/40.jpg;17:32:59
male;nicolas.roy@example.com;Y82 F19-7517;A73 B18-6578;CA;Mr;Nicolas;Roy;6108;St. Lawrence Ave;Shelbourne;Québec;Canada;Q4H 7B2;22.7637;42.6764;-4:00;Atlantic Time (Canada), Caracas, La Paz;5196ddc6-6264-4651-a5d2-fba038dc930d;yellowdog620;bentley;PUYSMcOH;597d75763901f60e6422f58d089d9d7c;7e0351c841d98a0dde56e1167304f7d30b841fb2;538e1bfbd69aad7a6a7e8191173e9a0497a9512bc53724fb64bcc45e5e269612;1951-09-19T17:32:09.527Z;72;2019-09-26T23:27:46.540Z;4;SIN;064629504;https://randomuser.me/api/portraits/men/51.jpg;https://randomuser.me/api/portraits/med/men/51.jpg;https://randomuser.me/api/portraits/thumb/men/51.jpg;17:32:59
female;natalie.li@example.com;(256)-142-8848;(996)-724-2599;NZ;Ms;Natalie;Li;4103;Tweed Street;Gisborne;Auckland;New Zealand;27951;77.8786;119.2247;+4:30;Kabul;655426be-c822-4e97-84c2-49a10114f5a6;blackmouse286;lopez;XpEiDG0S;09346752274c06b2c6f9211cc6120f46;33a45104ad7b402eec899c611c0ee0c1a31c7de0;ffee3dff2323cfa578d2769a79f923011b4a2a17eb60cc2678aca2caefd425e5;1954-02-22T19:24:06.555Z;70;2020-11-13T10:44:45.977Z;3;;;https://randomuser.me/api/portraits/women/10.jpg;https://randomuser.me/api/portraits/med/women/10.jpg;https://randomuser.me/api/portraits/thumb/women/10.jpg;17:32:59
male;perica.kuzmanovic@example.com;019-4970-928;064-0711-490;RS;Mr;Perica;Kuzmanović;8339;Milorada Popovića;Knić;Zaječar;Serbia;22548;1.3915;149.9413;-8:00;Pacific Time (US & Canada);86228996-a4d7-419c-8a8d-aa0ce5dd23ff;redcat330;gentle;5UzXMPFG;0a10d41a66687194018ce7b7ed8041a4;7f34ea1b731027cccf0bf95de6bfe8e2f716a98d;19a8b0cac4cf3a20bacbf1d6438060e511038eda379bcd22dae589eaf081520e;1959-06-27T02:16:17.990Z;64;2002-12-10T19:47:57.701Z;21;SID;621336763;https://randomuser.me/api/portraits/men/10.jpg;https://randomuser.me/api/portraits/med/men/10.jpg;https://randomuser.me/api/portraits/thumb/men/10.jpg;17:32:59
female;purdey.lakerveld@example.com;(0910) 443910;(06) 33387917;NL;Ms;Purdey;Lakerveld;7675;Kandijstraat;Vleuten;Zeeland;Netherlands;4464 MZ;84.3641;57.8767;-5:00;Eastern Time (US & Canada), Bogota, Lima;56036cec-e490-4246-82af-b8aaa79e30fa;smalldog578;asdf;HO3OGD48;d12d32b73920d866159c8257d00045ff;46bc4a521298bf9afa01e4b237d62bf7810deeb8;92e4afe4d213591cfd9cab45524377477e18730c52905b82572e003ce0ba923a;1959-01-02T23:18:16.884Z;65;2007-03-04T05:44:00.043Z;17;BSN;98176540;https://randomuser.me/api/portraits/women/37.jpg;https://randomuser.me/api/portraits/med/women/37.jpg;https://randomuser.me/api/portraits/thumb/women/37.jpg;17:32:59
male;ard.hydry@example.com;072-49664552;0996-116-9892;IR;Mr;آراد;حیدری;9220;استاد نجات‌اللهی;کرج;فارس;Iran;95430;78.1942;-151.7708;-11:00;Midway Island, Samoa;6ce38c03-c08c-4b2e-a2d4-baa4310bc49d;greengoose205;joker1;1KkrnZUl;b4437895e8573ff558e7aa5f62e63e73;c32754e7383c73cd17de2a8c8d8b4c2980e85c34;c4a82c461af4ababc771ee3125eeb1b3f9b75c6f339c32e75e52be73566e842c;1995-07-05T15:52:40.631Z;28;2013-07-04T03:11:54.769Z;10;;;https://randomuser.me/api/portraits/men/65.jpg;https://randomuser.me/api/portraits/med/men/65.jpg;https://randomuser.me/api/portraits/thumb/men/65.jpg;17:32:59
female;gitta.kunz@example.com;0995-8830497;0172-7559505;DE;Miss;Gitta;Kunz;7244;Mittelweg;Teuschnitz;Nordrhein-Westfalen;Germany;89821;43.4890;109.7018;-5:00;Eastern Time (US & Canada), Bogota, Lima;aabdba0a-82f2-491d-8fd4-32fc91c0c602;happygoose193;moscow;KLOa4qVh;25b390c06d8a6ff71cb95a4dcedc0a63;b94b836473d59515fbbb9e9ee39ed061314edccf;99c62a5f2014d5618b52da12b0fb4a0879e5be4e703685f403f20ae79cdfd57e;1999-08-22T14:56:54.261Z;24;2016-12-02T01:36:55.582Z;7;SVNR;02 220899 K 669;https://randomuser.me/api/portraits/women/30.jpg;https://randomuser.me/api/portraits/med/women/30.jpg;https://randomuser.me/api/portraits/thumb/women/30.jpg;17:32:59
female;gail.obrien@example.com;(876) 680-0385;(225) 579-3495;US;Mrs;Gail;Obrien;49;Ash Dr;Desoto;Florida;United States;10035;71.6348;70.5419;+4:30;Kabul;8bd28ad5-05b1-4363-b170-bedf7affeb25;purpletiger164;cat123;yj4d9blw;f7a2808e387124c73e3a7e0360504898;192637f8be26844cdc77f14c6b0740068c58b051;2fe7ffa4f38a069834e3d8f60f6d9d11c781068b25120ec61bfb07484219a3a1;1980-11-01T07:55:53.551Z;43;2020-08-14T16:35:14.325Z;3;SSN;446-89-7694;https://randomuser.me/api/portraits/women/28.jpg;https://randomuser.me/api/portraits/med/women/28.jpg;https://randomuser.me/api/portraits/thumb/women/28.jpg;17:32:59
male;lee.burke@example.com;(577) 258-3425;(581) 445-8700;US;Mr;Lee;Burke;6228;Sunset St;Norman;South Dakota;United States;66631;67.6665;11.0191;-12:00;Eniwetok, Kwajalein;aa15e46f-2e80-46ca-a11c-3fd3fc874e12;organictiger583;trailers;GeYfZHJL;465fd64ffd17e58bd4d6503e1507f432;35fddb91faa7981dc5abd2f34b5d51fda3974306;fe0bf2665a26c7e8c77f39ba52897d548ff0adccf96d147d55c0691fbeb0a622;1980-10-20T18:52:58.394Z;43;2006-11-01T21:05:39.687Z;17;SSN;006-94-0534;https://randomuser.me/api/portraits/men/34.jpg;https://randomuser.me/api/portraits/med/men/34.jpg;https://randomuser.me/api/portraits/thumb/men/34.jpg;17:32:59
female;alea.haji@example.com;32577008;47796766;NO;Mrs;Alea;Haji;7807;Ørakerveien;Forbregd;Oslo;Norway;5164;-5.6734;-45.8866;+10:00;Eastern Australia, Guam, Vladivostok;1a794f81-6a74-4b04-8ab7-ba6e303c4727;bluekoala350;fernando;3vw7hoLn;5dc8200c5564ba95b36caf9c433abaa7;0d4b4ba815f6a335c99e3041a408c3dba400579c;7876932534e4af231bf427c67cdae9710c7c3b35d053e560a063714b799f6757;1999-03-04T21:48:26.144Z;25;2016-11-28T21:15:51.794Z;7;FN;04039925465;https://randomuser.me/api/portraits/women/17.jpg;https://randomuser.me/api/portraits/med/women/17.jpg;https://randomuser.me/api/portraits/thumb/women/17.jpg;17:32:59
