gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;vlasta.balagura@example.com;(067) Y42-3818;(098) W42-2716;UA;Miss;Vlasta;Balagura;8998;Kubiyovicha;Hust;Chernivecka;Ukraine;49494;79.2516;28.1820;-3:00;Brazil, Buenos Aires, Georgetown;3025e7ef-7f0c-4cd6-8f8e-ea7eb2f635d2;tinytiger704;luck;0dWW1xX0;923a93b50644e64a396cf7071f058ef7;5850385ea3b857fdb3074d49ad85db7e21bc0be1;fadc7e438d1c65c38ed248176011ba1a50eb97162fd7467c05e77a87b61ad1fa;1970-06-25T18:14:00.036Z;53;2020-01-17T13:48:50.378Z;4;;;https://randomuser.me/api/portraits/women/68.jpg;https://randomuser.me/api/portraits/med/women/68.jpg;https://randomuser.me/api/portraits/thumb/women/68.jpg;19:14:54
male;jacob.roy@example.com;B12 N56-5898;K42 B59-9915;CA;Mr;Jacob;Roy;2879;Pierre Ave;Beaumont;Manitoba;Canada;D5J 5W4;65.1651;92.8205;+8:00;Beijing, Perth, Singapore, Hong Kong;d643c2a2-66cd-44b0-a441-b28bd5c67fc6;greenladybug984;salomon;pgRjFSYt;5c2d45b98602763ff953830c4ede5cb7;78e84a45943b1dacbf8a750d33e6fa66df2060cd;7bfdee2cba4a861da42784bc9adfcb8a8c7a3151b9dc0dcddf9c37403cec28a8;1989-12-26T23:30:46.562Z;34;2010-01-14T13:31:37.034Z;14;SIN;005608625;https://randomuser.me/api/portraits/men/54.jpg;https://randomuser.me/api/portraits/med/men/54.jpg;https://randomuser.me/api/portraits/thumb/men/54.jpg;19:14:54
female;elizabeth.carlson@example.com;00-7000-8067;0487-633-708;AU;Ms;Elizabeth;Carlson;6316;First Street;Rockhampton;Northern Territory;Australia;6929;7.8486;-159.5318;+5:30;Bombay, Calcutta, Madras, New Delhi;148898de-d674-408f-bf38-008a0da38295;sadostrich960;ding;yGdqUcyP;aac0d4aff56fbbd1b61291a42153735d;0b2e6e6bb04f0f86b4757bd07982c9d140b3aa0e;ccf546851d7ebfa1487b460b045aaf976796c0bc83d2103a78c68ae96a20a670;1993-07-28T19:38:04.480Z;30;2003-03-05T05:58:07.394Z;21;TFN;352435479;https://randomuser.me/api/portraits/women/26.jpg;https://randomuser.me/api/portraits/med/women/26.jpg;https://randomuser.me/api/portraits/thumb/women/26.jpg;19:14:54
female;pramitha.sullad@example.com;9859188949;7994757154;IN;Miss;Pramitha;Sullad;9718;Kasturba Rd;Jalna;Haryana;India;60798;12.1142;138.3141;+9:30;Adelaide, Darwin;70841eba-4b59-4680-8b06-a4bafd040b10;bigbutterfly205;stephane;PYmnaLZS;24e2a689d312cedcecb2a61db3070861;c8a4b5c6f5ee74c217e3af9cd7c90385aaca56b2;67ca2f0dc54dad3ef758a4977ca2a06ac35a35a48bd60e60f3e778e6d329be46;1977-06-02T14:29:16.546Z;46;2005-10-19T05:42:59.843Z;18;UIDAI;212038807503;https://randomuser.me/api/portraits/women/16.jpg;https://randomuser.me/api/portraits/med/women/16.jpg;https://randomuser.me/api/portraits/thumb/women/16.jpg;19:14:54
male;ferdinand.adam@example.com;077 562 45 95;077 188 72 23;CH;Monsieur;Ferdinand;Adam;550;Avenue des Ternes;Baden;Glarus;Switzerland;7961;-72.8281;126.2581;+5:00;Ekaterinburg, Islamabad, Karachi, Tashkent;09bdc955-b0d5-4837-a86c-fa8e8e0ef665;silverfish150;nadine;aIKkLsMk;f4d2339de6a98a699693a85f7dba8cc5;d32f5ca93a2974f0cf3562b449f813b222e4ee02;f0cc6e4cd4157fd146628ff5450a7e92fb7abe9135cb1a878a22b23664b25365;1963-03-08T01:30:04.969Z;61;2018-11-22T19:18:20.823Z;5;AVS;756.5651.2995.36;https://randomuser.me/api/portraits/men/23.jpg;https://randomuser.me/api/portraits/med/men/23.jpg;https://randomuser.me/api/portraits/thumb/men/23.jpg;19:14:54
female;aada.pakkala@example.com;03-617-033;048-525-26-99;FI;Ms;Aada;Pakkala;3035;Esplanadi;Kajaani;Kymenlaakso;Finland;21834;11.5961;62.3980;+6:00;Almaty, Dhaka, Colombo;d3309dbd-2119-422d-99f2-eee7f1ff7b8c;whitemouse995;amateur;Rwt6xqXQ;ebfb25b751e21374b2e86ff6d1aa8d0c;61d4959e251fe0c6db85a6cf536eb0b9e7cb5695;4a1241e0509c634822547a704bca8357d9f58cd202fd03c7bf837d6e3190a9e2;1977-05-26T10:59:16.865Z;46;2008-03-29T00:37:52.218Z;16;HETU;NaNNA604undefined;https://randomuser.me/api/portraits/women/61.jpg;https://randomuser.me/api/portraits/med/women/61.jpg;https://randomuser.me/api/portraits/thumb/women/61.jpg;19:14:54
male;brijesh.gupta@example.com;9905526451;7864975564;IN;Mr;Brijesh;Gupta;1473;Bannerghatta Rd;Silchar;Maharashtra;India;85290;-58.8923;8.3638;+3:00;Baghdad, Riyadh, Moscow, St. Petersburg;742404ee-1c81-4530-80a0-005d08929492;crazypanda388;orioles;1ynr9obX;49fca9c18a371c83b5c1b10ead867a8a;7c08eac16e26b17c7c09444e2802bae59c9086a2;dd68bc6c0829dfcf16abe72c836b06fff8d792d093a1484f4a3f4b472c84d19b;1959-08-20T08:16:45.983Z;64;2009-02-18T20:19:51.496Z;15;UIDAI;464580971914;https://randomuser.me/api/portraits/men/77.jpg;https://randomuser.me/api/portraits/med/men/77.jpg;https://randomuser.me/api/portraits/thumb/men/77.jpg;19:14:54
female;dunja.radivojevic@example.com;035-8069-646;061-6883-953;RS;Miss;Dunja;Radivojević;5105;Kedrova;Bački Petrovac;North Bačka;Serbia;97884;23.1977;98.8296;+8:00;Beijing, Perth, Singapore, Hong Kong;405d3c89-b379-4e88-adec-4368b914fe86;yellowmouse251;adam;006TzQuH;d1e6cdbc75e8c628f49c6b3c9bd6bea5;60d8bb38f88240db1d861c3c928ae31f884415d2;63941d3171aba5c009bdbce20a92d6934ff7e28cf5fdfc7f5b05a6bfb381aed8;1983-02-17T19:35:39.990Z;41;2013-03-20T20:14:33.694Z;11;SID;541791313;https://randomuser.me/api/portraits/women/91.jpg;https://randomuser.me/api/portraits/med/women/91.jpg;https://randomuser.me/api/portraits/thumb/women/91.jpg;19:14:54
female;luna.louis@example.com;04-56-42-10-00;06-53-32-43-54;FR;Ms;Luna;Louis;2451;Rue des Ecrivains;Nîmes;Haute-Corse;France;23954;35.5419;-53.3875;-12:00;Eniwetok, Kwajalein;a0afc413-42b5-44e6-8ca1-faf94a3a2b05;goldenpanda184;biit;miN9r1nO;7db32798b7a5ceccd54f7c2fc2921a46;726c7c2eecc43d47156b1ed9d3789ff3951fd3e5;3eb63044c8f8556ca7d77d4944008e700cbd04731b0fa6d03b67209a7afd3018;1960-11-22T18:01:21.884Z;63;2017-08-11T19:40:53.105Z;6;INSEE;2601017896386 47;https://randomuser.me/api/portraits/women/73.jpg;https://randomuser.me/api/portraits/med/women/73.jpg;https://randomuser.me/api/portraits/thumb/women/73.jpg;19:14:54
male;nolan.perez@example.com;04-25-27-57-75;06-87-63-46-89;FR;Mr;Nolan;Perez;4833;Place de L'Europe;Metz;Hauts-de-Seine;France;23127;-31.8290;126.5888;+11:00;Magadan, Solomon Islands, New Caledonia;9383aeea-1985-4359-a0d9-dd634f30ca4b;tinykoala813;abcdef;V1iCCX40;29198e1046e33f260f5a4f575874bbb6;b4304f4751d974814a33d6ab8c47090175368226;5b3c7a93243c45c2071c91f058117b16f23b707396c0e430a95333493ae4e648;1998-02-18T06:42:42.142Z;26;2007-12-27T07:17:22.489Z;16;INSEE;1980114384590 39;https://randomuser.me/api/portraits/men/14.jpg;https://randomuser.me/api/portraits/med/men/14.jpg;https://randomuser.me/api/portraits/thumb/men/14.jpg;19:14:54
