gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
male;valerio.bruinewoud@example.com;(0289) 919517;(06) 92904784;NL;Mr;Valerio;Bruinewoud;6431;De Galop;Papenhoven;Utrecht;Netherlands;5005 ZL;35.7482;-157.4133;-11:00;Midway Island, Samoa;e10a5adf-2093-4f4d-9d03-ae44daf0b552;beautifulduck693;special;kaJo0t2e;fec933bd5063454ae20122fd1ea25791;501eecc22cae8030700e20b86a365bc5f8d573d1;7ecf30ee2bd4d7504e4aa0a5849aaf5b6759ee375b59a5743e8795a218b684b1;1996-11-30T15:50:05.904Z;27;2007-09-20T17:59:15.532Z;16;BSN;22153068;https://randomuser.me/api/portraits/men/25.jpg;https://randomuser.me/api/portraits/med/men/25.jpg;https://randomuser.me/api/portraits/thumb/men/25.jpg;17:53:23
female;ella.hentschel@example.com;0757-7315789;0175-7210022;DE;Ms;Ella;Hentschel;8815;Meisenweg;Schwäbisch Hall;Hessen;Germany;76128;78.5015;-77.9486;+10:00;Eastern Australia, Guam, Vladivostok;dee2f81c-df4e-417c-9743-3950ad8009f6;blackleopard281;187187;n75GzRmv;7c64da337b9d57894ce20a07a9913994;1aa0516f853e0fd8cd772508e4a725e7c0eb88ec;e094c617546c6ea8fd310563a2c004edb54535a3aae33d50b2984c7ec3f42348;1965-08-29T15:57:36.011Z;58;2007-12-02T11:00:22.994Z;16;SVNR;61 290865 H 827;https://randomuser.me/api/portraits/women/24.jpg;https://randomuser.me/api/portraits/med/women/24.jpg;https://randomuser.me/api/portraits/thumb/women/24.jpg;17:53:23
male;craig.white@example.com;011-475-6105;081-112-8392;IE;Mr;Craig;White;9142;New Street;Clonmel;Fingal;Ireland;45773;-48.1438;150.7416;+5:30;Bombay, Calcutta, Madras, New Delhi;45dfeac6-b3fe-486b-b502-83544c9cb529;whitecat458;marc;p15w3Okr;de8ee0ece6be88714294979f01e41476;fcc9bb1d550fc13c07e5a4004ce4feeece3a2007;5e15b1f57d9a23ac4c12dd9a7b5a4ee7e51f4d48ac593d3d372ba88bd7c85127;1996-12-23T18:22:25.898Z;27;2009-10-17T01:29:30.097Z;14;PPS;2960348T;https://randomuser.me/api/portraits/men/66.jpg;https://randomuser.me/api/portraits/med/men/66.jpg;https://randomuser.me/api/portraits/thumb/men/66.jpg;17:53:23
female;abigail.martinez@example.com;(639) 619 6627;(625) 222 7623;MX;Miss;Abigail;Martínez;5748;Calzada Tamaulipas;Huehuetán;San Luis Potosí;Mexico;54333;37.4700;113.6982;+2:00;Kaliningrad, South Africa;e8b42104-3aac-4843-bbe7-4463de5ea249;brownbear358;duckie;csyLW9C1;c92891e40d5c95da59ba144d2dbf46a3;122830238a966840101be0c6a2c88a1b46f573a0;2be3a8a3844fd1ea222c300f7d7d9905ad3fcfbf4c1afd3353508ea07073551f;1951-04-11T04:36:30.185Z;73;2016-04-21T13:17:08.444Z;8;NSS;77 57 07 8650 7;https://randomuser.me/api/portraits/women/34.jpg;https://randomuser.me/api/portraits/med/women/34.jpg;https://randomuser.me/api/portraits/thumb/women/34.jpg;17:53:23
female;hannah.chu@example.com;P82 G65-6493;N73 Z65-5654;CA;Mrs;Hannah;Chu;4374;Tecumseh Rd;Cartwright;Newfoundland and Labrador;Canada;J5U 6F4;75.5296;-128.0461;+4:30;Kabul;6e6a07c9-a208-4113-96e3-4fa066dae080;ticklishelephant782;donald;H86zAEeX;ff9779bb21571ca56b05a632cc3447e9;fc8898805a705a758cc618a74e6e65f8caa2dae3;c0e3d3e0d8710bb0d69caf2dd9166d97ea6d043c552fe1a4bdec3c10f769b6cf;1986-12-13T19:14:29.901Z;37;2014-11-29T17:45:44.532Z;9;SIN;005198221;https://randomuser.me/api/portraits/women/10.jpg;https://randomuser.me/api/portraits/med/women/10.jpg;https://randomuser.me/api/portraits/thumb/women/10.jpg;17:53:23
male;lito.dapaz@example.com;(96) 4227-6192;(14) 9422-8800;BR;Mr;Lito;da Paz;8105;Rua da Paz ;Teresópolis;Amapá;Brazil;46746;0.5750;26.9167;+10:00;Eastern Australia, Guam, Vladivostok;45b70469-cf7d-4530-81b5-5eb2fa93c393;lazygoose827;santafe;ySBXC1ZZ;ee8ecbd8fa55009314586a9c189c20a4;5bb52ee3eabdb0cbcd8588c1524c2df1f44227ae;8afbb7c65bfa6aa484c7b17a6c9eb06579c739e91ce92d9dd8d2d0540461c285;1947-02-11T09:27:38.196Z;77;2018-10-10T10:08:38.440Z;5;CPF;880.533.368-00;https://randomuser.me/api/portraits/men/91.jpg;https://randomuser.me/api/portraits/med/men/91.jpg;https://randomuser.me/api/portraits/thumb/men/91.jpg;17:53:23
male;necati.tunceri@example.com;(594)-690-3552;(807)-391-8794;TR;Mr;Necati;Tunçeri;6670;Kushimoto Sk;Kırklareli;Şırnak;Turkey;52035;-40.6101;-98.0488;+5:00;Ekaterinburg, Islamabad, Karachi, Tashkent;cb35cb8b-0cc9-480c-9f83-9a6e2578fe66;ticklishsnake555;melissa;PEA6dMqk;d405ab099b8ef9b9b795026c16a22194;0cad3f4db607ea9fdcf6ed8f614fc8c1d83a878a;a0318ed58110ed71c3043b2d8bf7a6b5b1b8b63a1b61fb1fabb219651b3c8757;1977-05-25T02:08:27.030Z;46;2007-08-08T11:41:39.798Z;16;;;https://randomuser.me/api/portraits/men/78.jpg;https://randomuser.me/api/portraits/med/men/78.jpg;https://randomuser.me/api/portraits/thumb/men/78.jpg;17:53:23
female;kavyashri.bhoja@example.com;8169429513;7043002052;IN;Ms;Kavyashri;Bhoja;3622;Shivajinagar;Surat;Lakshadweep;India;45924;-0.9868;-155.2126;-6:00;Central Time (US & Canada), Mexico City;c4d4cba1-9e34-4b9a-be58-c5fa98997138;crazycat316;bigdog;EIC8SR0s;5907cb599198f1a3587b207f40923ec0;c573ee33dc0d5ae76d0e49339633784f26f0f878;b289b1f11e3c9eba444fbe3b10b5ae491bfdf90843e97fcd5b63d04b1f3e0049;1958-06-22T08:16:12.200Z;65;2018-03-28T06:49:09.160Z;6;UIDAI;931686626813;https://randomuser.me/api/portraits/women/66.jpg;https://randomuser.me/api/portraits/med/women/66.jpg;https://randomuser.me/api/portraits/thumb/women/66.jpg;17:53:23
female;ava.roger@example.com;01-67-33-79-17;06-87-30-62-44;FR;Ms;Ava;Roger;7655;Rue du Stade;Bordeaux;Dordogne;France;50757;-71.3836;-21.3488;-8:00;Pacific Time (US & Canada);45f10093-ed33-4358-8937-1094fc3e166b;silverswan577;ozzy;xi4F1DrJ;27bdb63e525bb871f0620cb59179500c;8e8e1cc76ad1537e3cad801baa4f40aee5be5867;283d6f5dcf8eacb9926ff9c52781a10a9addfa096676ea58699175898fcc6822;1990-04-10T01:24:52.430Z;34;2011-06-02T03:32:40.352Z;12;INSEE;2900366959116 81;https://randomuser.me/api/portraits/women/3.jpg;https://randomuser.me/api/portraits/med/women/3.jpg;https://randomuser.me/api/portraits/thumb/women/3.jpg;17:53:23
male;felix.young@example.com;(288) 790-3528;(885) 303-5342;US;Mr;Felix;Young;7421;Hamilton Ave;High Point;Texas;United States;63168;-11.1448;105.4693;-12:00;Eniwetok, Kwajalein;7dddc85c-0def-4b63-bc91-e326f733dd00;redelephant998;rebelz;OhZWmAAW;7703ebe3520da14a6aece718a4cc8523;80648132aacb4a03cd3bce30df3235a7c1a683cf;5f858c4c4ac1b683a82a7dca830ecbc8ae140b63f46a0fb979f393b5ec6f3cff;1999-08-10T05:24:12.381Z;24;2022-03-31T03:56:50.714Z;2;SSN;301-59-3911;https://randomuser.me/api/portraits/men/47.jpg;https://randomuser.me/api/portraits/med/men/47.jpg;https://randomuser.me/api/portraits/thumb/men/47.jpg;17:53:23
