gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;giselle.dias@example.com;(78) 5093-7940;(30) 5469-1841;BR;Ms;Giselle;Dias;403;Rua São Luiz ;Blumenau;Acre;Brazil;32555;-79.6281;69.8808;+2:00;Kaliningrad, South Africa;66c80c20-4c22-4188-bcea-675dacd80f4b;redkoala513;taco;UkkeHFSV;501185b4a6df30d425520e660fb0515c;eb62a5d3cb998432636eff861bb634dbfdb09f52;350978ded7160c0c65b340a88647ed0301e4255fe0f4fac8122e77d4d58fc86c;1964-01-11T11:54:14.661Z;60;2019-03-20T22:03:47.321Z;5;CPF;918.880.874-41;https://randomuser.me/api/portraits/women/62.jpg;https://randomuser.me/api/portraits/med/women/62.jpg;https://randomuser.me/api/portraits/thumb/women/62.jpg;17:33:07
male;dan.cooper@example.com;0141 454 9506;07726 035695;GB;Mr;Dan;Cooper;3643;Stanley Road;Wolverhampton;County Antrim;United Kingdom;BA6 2TF;86.5270;-26.2349;-8:00;Pacific Time (US & Canada);15096af2-c62e-42ce-90ec-772653225cf2;bluepeacock182;eleven;EA9vTltm;187e79c32a3509a2fe04ef4f088da3c4;4270a341aae2130789a8d567281a77edde46851e;ccd456bc412232a172425a1c2621abab3926c75dfc67c36d9a1113bf394af7f7;1992-02-01T05:39:52.194Z;32;2008-12-21T10:46:04.870Z;15;NINO;BJ 02 85 91 I;https://randomuser.me/api/portraits/men/62.jpg;https://randomuser.me/api/portraits/med/men/62.jpg;https://randomuser.me/api/portraits/thumb/men/62.jpg;17:33:07
female;soncedara.dobryanskiy@example.com;(099) P88-6929;(066) T94-2900;UA;Miss;Soncedara;Dobryanskiy;3569;Ploshcha Muzeyna;Vinniki;Donecka;Ukraine;30572;-56.0194;-1.7592;-12:00;Eniwetok, Kwajalein;6f5b3435-3b1d-4599-a717-0c8838f39215;orangeladybug575;citizen;wejtTyIo;83028f1df102a6096830938356cf6ad1;e3b5c807a250a03640d0496b9e42f043b107e4b3;5958322cef86562ead7b8ad1a8f94f27df8371ff8aea451a9ead5139c6497a36;1965-12-04T15:58:53.392Z;58;2018-08-04T07:35:00.234Z;5;;;https://randomuser.me/api/portraits/women/75.jpg;https://randomuser.me/api/portraits/med/women/75.jpg;https://randomuser.me/api/portraits/thumb/women/75.jpg;17:33:07
female;evdokija.vilotic@example.com;025-5436-182;061-5832-576;RS;Miss;Evdokija;Vilotić;407;Miloša Milojevića ;Sjenica;Peć;Serbia;28843;-62.2790;75.5172;-9:00;Alaska;54e9f48f-c668-47f8-8ad9-8c680ec3c1f9;redmeercat820;monkeybo;vz1s4hCv;8f1adbf9b769eed6264344c15959c3f8;2489a8486c809d848a8fb59d0115ad04053ae4fd;e86f3c07021a60ab25977089bf2c17e45d3daffc451791870d860ac9da1e1ee2;1952-02-20T15:54:53.384Z;72;2010-05-24T08:31:50.863Z;13;SID;657581060;https://randomuser.me/api/portraits/women/83.jpg;https://randomuser.me/api/portraits/med/women/83.jpg;https://randomuser.me/api/portraits/thumb/women/83.jpg;17:33:07
male;svetozar.rasic@example.com;037-0107-769;060-9387-129;RS;Mr;Svetozar;Rašić;8102;Berkovačka;Kovin;Jablanica;Serbia;78597;63.3451;-90.6631;-10:00;Hawaii;53f900db-87e1-47ba-acbe-5dab5d6fc4dd;goldenmouse756;flame;k3BNtosY;ee8addf2358fe3a61124646acf3817a3;122d4e066cd17fac95ca7526ca0422f251fdab76;691f38acf9abacc008bd564f2aa46c661a64d0e73756e8f65fc106e4d488e354;1989-07-06T05:11:00.068Z;34;2018-12-20T13:28:42.501Z;5;SID;398071735;https://randomuser.me/api/portraits/men/83.jpg;https://randomuser.me/api/portraits/med/men/83.jpg;https://randomuser.me/api/portraits/thumb/men/83.jpg;17:33:07
male;zinoviy.basanec@example.com;(068) G71-7345;(096) V76-1523;UA;Mr;Zinoviy;Basanec;8042;Dvirceva ploshcha;Vovchansk;Hmelnicka;Ukraine;98670;39.5757;100.1913;-3:30;Newfoundland;973cf73e-980f-4c4d-97af-6724d2b4a159;angrysnake888;pocket;FhxSLmYG;120c52122d401aff96ba46edb9819dc0;82c492f40ad524e7c332f18d643cb0d363235a81;c5f73dc13b999aa10aeb3593b0a9c21794be9177749929f3a0731796362933ba;1947-04-20T12:58:35.748Z;77;2006-11-21T22:48:44.681Z;17;;;https://randomuser.me/api/portraits/men/82.jpg;https://randomuser.me/api/portraits/med/men/82.jpg;https://randomuser.me/api/portraits/thumb/men/82.jpg;17:33:07
female;mandy.hoffman@example.com;021-827-3872;081-299-2073;IE;Ms;Mandy;Hoffman;85;Church Road;Letterkenny;Kerry;Ireland;66916;24.4915;165.4457;+1:00;Brussels, Copenhagen, Madrid, Paris;81f6d610-a3b3-4a08-8b40-72fe05215d20;brownbutterfly442;aloha;oxltxNVW;3f90147a8513c95d4f5c43171d95c7b4;2caaa1b53bf26f508d51004604231e56f33ed3e4;9df3baa5fb34a67a6e54cc6057ac4860eb45fbba34a4a0c1003e14a3e28f5144;1967-12-10T19:44:07.961Z;56;2008-02-06T09:20:53.444Z;16;PPS;4786801T;https://randomuser.me/api/portraits/women/72.jpg;https://randomuser.me/api/portraits/med/women/72.jpg;https://randomuser.me/api/portraits/thumb/women/72.jpg;17:33:07
female;heather.graham@example.com;(941) 531-7812;(371) 230-3249;US;Ms;Heather;Graham;9419;Crockett St;St. Louis;Alabama;United States;60390;52.1931;124.9978;+2:00;Kaliningrad, South Africa;6e8f6415-14d8-4e15-aed4-10592335124b;greenfrog436;blade;N3JSykwV;c3ba0e076bdfc92f508e70260a0b6390;86b501d8cbd37270448bde3174ba16460f78fecc;ad16a20572c4de413879c68c8ebffc26d561414dba5243798d927a1747473c52;1990-03-12T14:46:29.379Z;34;2008-01-09T02:58:42.940Z;16;SSN;685-42-0502;https://randomuser.me/api/portraits/women/71.jpg;https://randomuser.me/api/portraits/med/women/71.jpg;https://randomuser.me/api/portraits/thumb/women/71.jpg;17:33:07
male;karl.franklin@example.com;016974 46496;07800 752104;GB;Mr;Karl;Franklin;6054;New Road;Lincoln;Isle of Wight;United Kingdom;ZH5U 6AZ;-19.2319;22.8427;+1:00;Brussels, Copenhagen, Madrid, Paris;338785cc-f9dd-49f4-a2ce-73e11db4e410;beautifulmeercat757;hamster;DJQANd8r;856b530832c7dabe23bf2f88feb11cd5;43af80dbb43102bad72cef8a8684056b38cd1029;94e958b2b03bde015265fe3f165fbcaba321cf90335860f0204568ccaf159db1;1956-07-03T16:02:52.240Z;67;2015-06-07T02:51:03.486Z;8;NINO;MM 69 07 43 F;https://randomuser.me/api/portraits/men/90.jpg;https://randomuser.me/api/portraits/med/men/90.jpg;https://randomuser.me/api/portraits/thumb/men/90.jpg;17:33:07
male;jaime.ramirez@example.com;(690) 129 8093;(658) 578 0149;MX;Mr;Jaime;Ramírez;5367;Cerrada Sur Solano;Huanusco;Aguascalientes;Mexico;29364;7.6467;86.7658;-6:00;Central Time (US & Canada), Mexico City;7356d4e1-759a-49c2-ad88-866b2c428d53;organicmeercat129;oooo;mCJHCRXG;f57ce7f8ca30a367874d3db0ff8eae9a;338c1ba54f28d02858a9d4c7f4e72d675fcaecdf;8b8a7a1a0b7b0f4f8b783cdd33ca8dba33629c005129fca133042ef2e3b4d6af;1948-05-15T23:59:17.115Z;75;2021-02-08T08:22:29.404Z;3;NSS;82 19 60 6329 6;https://randomuser.me/api/portraits/men/40.jpg;https://randomuser.me/api/portraits/med/men/40.jpg;https://randomuser.me/api/portraits/thumb/men/40.jpg;17:33:07
