gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;charlie.cote@example.com;M04 I01-3843;N26 Y30-1974;CA;Miss;Charlie;Côté;6091;Tecumseh Rd;Lasalle;Northwest Territories;Canada;S5U 5W6;-70.3100;48.9200;+2:00;Kaliningrad, South Africa;43089e86-6a8d-41b1-860a-270f27065126;purplecat525;147258;NH2eTfYz;da14269cf3c3c3fc0f0aae93210de229;df76a62fb7c64b7b5d8f5b5d021f60eb087a95ed;1a93b20f5be076cd0e2395c9a330b7077fe0f575619216166d638dfc066d4f87;1947-09-16T13:41:26.316Z;76;2022-03-25T15:03:14.311Z;2;SIN;996029419;https://randomuser.me/api/portraits/women/15.jpg;https://randomuser.me/api/portraits/med/women/15.jpg;https://randomuser.me/api/portraits/thumb/women/15.jpg;18:44:50
male;zoran.ilic@example.com;018-8674-768;069-6252-667;RS;Mr;Zoran;Ilić;294;Patrijarha Jefrema;Bela Crkva;Rasina;Serbia;85824;71.5549;-26.1369;-12:00;Eniwetok, Kwajalein;5849f502-fb7e-4c7b-afc9-5536f16c73ef;angrytiger474;iiii;dVgOPDAm;5f6f70117948ed88e4c9df36a3b15b44;24c3c3ca9713d72805ebd955b4acd69ed70ecbcd;f44e418885c9ec6f362893fa78725adf21c65d45a5a5bfe82438399daf67d81a;1952-06-23T19:01:56.709Z;71;2011-05-13T13:04:03.699Z;12;SID;855823471;https://randomuser.me/api/portraits/men/39.jpg;https://randomuser.me/api/portraits/med/men/39.jpg;https://randomuser.me/api/portraits/thumb/men/39.jpg;18:44:50
female;susann.kley@example.com;0135-8025457;0179-9341049;DE;Ms;Susann;Kley;7197;Hauptstraße;Stormarn;Sachsen-Anhalt;Germany;43765;26.1098;-150.2091;+11:00;Magadan, Solomon Islands, New Caledonia;3f72fb8c-8dad-43f3-80a1-bd0c1aa76370;ticklishkoala241;seinfeld;qVJql0Ht;7cd550682f29f9553bcf4e1fe8928b48;810073007da17c1e63b64c8c22ea1dda7f5cb77b;9468ef61279390fe5a877534ca23380220e78e000abe114435edb9ca292503ca;1958-12-22T11:28:47.129Z;65;2018-12-10T14:42:32.308Z;5;SVNR;09 221258 K 530;https://randomuser.me/api/portraits/women/31.jpg;https://randomuser.me/api/portraits/med/women/31.jpg;https://randomuser.me/api/portraits/thumb/women/31.jpg;18:44:50
male;simon.harris@example.com;U97 M17-1671;J02 W00-3072;CA;Mr;Simon;Harris;5272;Queen St;Deer Lake;Nunavut;Canada;B3M 6S2;74.9354;-30.0175;+5:45;Kathmandu;2765ddac-6cad-4ea3-84aa-cd88d457b239;redmouse415;aaron1;vUOCTEoT;dc51289949282d8f2204e45bc2b887b6;d93a57f2c7aad26a61e78a3e6c0a3aa67d70a82e;7925259159fb32565990d3cd6a2c475521f774713e7677e7d56542931d915d50;1951-09-19T07:47:58.144Z;72;2007-08-02T07:23:32.100Z;16;SIN;070119748;https://randomuser.me/api/portraits/men/7.jpg;https://randomuser.me/api/portraits/med/men/7.jpg;https://randomuser.me/api/portraits/thumb/men/7.jpg;18:44:50
female;abigail.peterson@example.com;021 7910 4280;07686 378879;GB;Ms;Abigail;Peterson;6392;Kingsway;Cardiff;Nottinghamshire;United Kingdom;K63 9EY;70.9734;-20.3205;-11:00;Midway Island, Samoa;cfb6dd64-c942-4f85-8d62-4d5259d03868;happylion485;55555555;ZIFCAS2B;5963b25f72ebb1a5c7ade91cbef1596e;55eb73c2727cdf61e3ea4f7e846cd8770d50d89a;4c4d0a6e09bba194ea99ba19f824d578638e8618cb11de537d04894730b8ac01;1966-03-17T08:16:51.287Z;58;2016-11-19T20:55:16.833Z;7;NINO;BW 57 35 18 P;https://randomuser.me/api/portraits/women/17.jpg;https://randomuser.me/api/portraits/med/women/17.jpg;https://randomuser.me/api/portraits/thumb/women/17.jpg;18:44:50
male;ashish.bogaerts@example.com;(0596) 068698;(06) 93289003;NL;Mr;Ashish;Bogaerts;5553;Almeria-Erf;Wouwse Plantage;Overijssel;Netherlands;3608 HB;51.2309;174.3216;+8:00;Beijing, Perth, Singapore, Hong Kong;f67106f1-1113-4d6b-8c39-85ba7b73b1aa;angryzebra741;allen;p4xzN5d5;196a8d5206dc645cb764ab2f9f4dda01;a48f60d4d85ff9efe66ca8f975465177e8f9610d;b27cc0a929ca86b2e0ed4e605c520c5602c055c86a174e08368f5459a7a3ad1a;1986-07-24T21:29:45.308Z;37;2020-01-15T03:02:42.807Z;4;BSN;44287683;https://randomuser.me/api/portraits/men/39.jpg;https://randomuser.me/api/portraits/med/men/39.jpg;https://randomuser.me/api/portraits/thumb/men/39.jpg;18:44:50
female;zoe.ambrose@example.com;H22 U34-2348;D77 Q19-3852;CA;Mrs;Zoe;Ambrose;9447;Concession Road 6;Grand Falls;Prince Edward Island;Canada;J0K 1Z5;-26.8801;-135.1857;+3:00;Baghdad, Riyadh, Moscow, St. Petersburg;41cfc71c-2ab2-4514-9105-0c31d4ed3ae4;angrycat698;picher;IXF4zpB2;52033a7e965c04ac80104ccf2794871a;523e58e8f06ee33cf6ecd79e0813cf155a7d583f;81306d7b61e1170f0236548b2b481424c63114947fe33a3bc95c40d3030c1f72;1997-07-26T08:58:43.433Z;26;2010-06-12T19:09:39.000Z;13;SIN;379979792;https://randomuser.me/api/portraits/women/37.jpg;https://randomuser.me/api/portraits/med/women/37.jpg;https://randomuser.me/api/portraits/thumb/women/37.jpg;18:44:50
male;esli.boons@example.com;(005) 3097735;(06) 65543334;NL;Mr;Esli;Boons;4020;Dodo van Haskastraat;Onnen;Overijssel;Netherlands;0591 QB;33.6765;26.0142;+4:30;Kabul;6ad963cb-b841-44d9-b5e1-32bb000c122f;purpleleopard190;poseidon;Wot5bd4c;f52b80ef630f232b28c409365f72f9e8;064c5f57591e57ce2e7f7071227f60f6ec8a5b36;650a4dd523c16bea1bb4631389c9227f4103c360424906109125d7c7b1592530;1958-02-08T15:27:16.570Z;66;2015-11-16T12:31:19.839Z;8;BSN;23456872;https://randomuser.me/api/portraits/men/99.jpg;https://randomuser.me/api/portraits/med/men/99.jpg;https://randomuser.me/api/portraits/thumb/men/99.jpg;18:44:50
male;yarovit.dovgodko@example.com;(097) U54-3677;(097) U05-0889;UA;Mr;Yarovit;Dovgodko;5610;Kozackiy provulok;Oleshki;Hmelnicka;Ukraine;65521;47.3112;-32.9472;+7:00;Bangkok, Hanoi, Jakarta;e067ab36-80ba-40a5-ab3d-8876bd706866;purplelion269;yyyyyy;JyTd6Ace;f1f93505e10c566745212ad2da8805d7;6f28bbdb34c58b732676537bb0fc0c25c0328568;97aa5ed83a4c9a67b953fa1c0f4f810943401026ee5a9f4f87ccc10d991c8846;1987-11-22T19:41:40.886Z;36;2011-01-28T01:07:00.187Z;13;;;https://randomuser.me/api/portraits/men/42.jpg;https://randomuser.me/api/portraits/med/men/42.jpg;https://randomuser.me/api/portraits/thumb/men/42.jpg;18:44:50
female;lola.meunier@example.com;079 761 60 87;076 452 70 92;CH;Madame;Lola;Meunier;5550;Place du 8 Février 1962;Granges (Veveyse);Luzern;Switzerland;5779;40.8747;-113.3388;+5:30;Bombay, Calcutta, Madras, New Delhi;1fdc2222-4a8b-498e-9018-8a45e40a6437;browngoose490;qazwsx;c4OQ7zCp;3b4b7427b21d987144316b212ddfac5c;d32923a1dc8024d20abc043e3d47d642e9c34720;88500207b4bf5ef196c9e6f43eecc89c399fdb4f81c04f0bd90727018b8d6302;1966-06-06T04:26:26.968Z;57;2019-06-03T05:49:55.194Z;4;AVS;756.8964.6902.08;https://randomuser.me/api/portraits/women/77.jpg;https://randomuser.me/api/portraits/med/women/77.jpg;https://randomuser.me/api/portraits/thumb/women/77.jpg;18:44:50
