gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
male;george.perez@example.com;017687 90201;07636 961455;GB;Mr;George;Perez;4401;North Road;Chester;County Armagh;United Kingdom;A14 0RS;-4.4267;-85.8326;+3:00;Baghdad, Riyadh, Moscow, St. Petersburg;5b878320-86e1-46dd-ab31-49307bbe2271;bluebutterfly347;record;Fz4dx115;5496388d9bde10ada8302cccc9b8c067;e8086f0f0d0d7f2d4bcf5e5357472e5ba7543f06;91d538109e7ace4e66a050fa1a5be58211d2594ef698daee15623e7a0d39f4bf;1976-11-22T08:15:04.380Z;47;2006-08-25T01:41:24.462Z;17;NINO;XP 04 94 68 E;https://randomuser.me/api/portraits/men/2.jpg;https://randomuser.me/api/portraits/med/men/2.jpg;https://randomuser.me/api/portraits/thumb/men/2.jpg;17:45:22
male;mohammed.berentsen@example.com;65978988;96740086;NO;Mr;Mohammed;Berentsen;345;Oberst Angells vei;Ulefoss;Hordaland;Norway;2608;-83.1211;-164.3910;+2:00;Kaliningrad, South Africa;15a0e953-d943-46a7-beff-ad56b47002d9;bigleopard515;joyce;tsHxuw1O;ebbd24792c8cefa2911dd1249eee5fd0;0869d8b24685f0ae6883c49accbfa9809d126472;12458d92a6419aa1e81f3870c9a4727df3083812112c573aa2e3993ae3dc6568;1997-11-08T09:35:39.876Z;26;2012-09-08T03:07:49.359Z;11;FN;08119720541;https://randomuser.me/api/portraits/men/38.jpg;https://randomuser.me/api/portraits/med/men/38.jpg;https://randomuser.me/api/portraits/thumb/men/38.jpg;17:45:22
female;sumaya.costa@example.com;(03) 0162-8936;(15) 0862-7531;BR;Ms;Sumaya;Costa;576;Rua Pará ;Santa Maria;Mato Grosso;Brazil;71396;-37.2814;43.9175;-2:00;Mid-Atlantic;86903e3b-e0b7-4177-803a-e115b8ff0e02;redcat255;kerouac;bA3MyuPZ;bfe883c8d26d714a703b40240e4f6a61;57908becd3590ddedd26c6c67298d6af23aa9391;2f9aae14bef091798a4fc3c7333ec1c1050023cfcdbc3295b3883c9fb4d85a71;1976-09-22T16:57:11.868Z;47;2021-12-09T19:01:05.257Z;2;CPF;980.569.884-81;https://randomuser.me/api/portraits/women/40.jpg;https://randomuser.me/api/portraits/med/women/40.jpg;https://randomuser.me/api/portraits/thumb/women/40.jpg;17:45:22
male;jovica.stevanovic@example.com;039-0517-587;063-7824-772;RS;Mr;Jovica;Stevanović;6205;Josifa Pančića;Ražanj;Pirot;Serbia;25272;67.8191;54.1176;-9:00;Alaska;1811f1f9-ad66-4bce-8412-de7410378d7d;orangewolf877;tribal;ZIuC8b7m;650a251d27b4abeffb3a95c3ce352fd1;d5725f0ab1bd43f9afa1978ba94f12b90ceeb488;015f3876da0a87b40737758a25f27d2faf1eeb7259da9017cabdba6837ada177;1997-03-23T16:37:07.608Z;27;2020-11-23T13:06:42.540Z;3;SID;946078726;https://randomuser.me/api/portraits/men/11.jpg;https://randomuser.me/api/portraits/med/men/11.jpg;https://randomuser.me/api/portraits/thumb/men/11.jpg;17:45:22
female;benedikte.khan@example.com;66723483;49577312;NO;Miss;Benedikte;Khan;2595;Kyrre Grepps gate;Ilhaugen;Bergen;Norway;2325;-4.0830;-68.6760;+9:00;Tokyo, Seoul, Osaka, Sapporo, Yakutsk;da5bea26-9937-4563-b229-1002609a16b7;purplesnake705;commando;fs7mhfyx;dfcbe35d7382b4201a84454aaa17cf04;00ce9efcdaae17b5160637fa891281d85be7ee49;7324760b15b08ed3234865d1e6105b28681d65d662f5004cb8afbf29403d00a3;1995-02-15T08:45:38.936Z;29;2002-05-08T07:43:28.352Z;21;FN;15029509236;https://randomuser.me/api/portraits/women/42.jpg;https://randomuser.me/api/portraits/med/women/42.jpg;https://randomuser.me/api/portraits/thumb/women/42.jpg;17:45:22
male;haico.oving@example.com;(0128) 313704;(06) 76404960;NL;Mr;Haico;Oving;8582;De Wel;Buren;Flevoland;Netherlands;0061 DO;-48.1070;-3.6913;+6:00;Almaty, Dhaka, Colombo;211ece8d-5c7f-4746-9916-f6be2b5a080a;blackwolf683;caught;uGr9a49Z;718ab3f19cfe845dc5c038370707d4ae;2ddc03c7facae18d15fb99ceab651bd8e8c164d8;b6f74291894c1a2a347d815fb6b07bd7822350a96c8f2d2114d836b749f40bed;1998-01-03T08:36:53.876Z;26;2015-10-18T00:11:22.135Z;8;BSN;47249416;https://randomuser.me/api/portraits/men/57.jpg;https://randomuser.me/api/portraits/med/men/57.jpg;https://randomuser.me/api/portraits/thumb/men/57.jpg;17:45:22
female;tyra.knarvik@example.com;89581799;95525315;NO;Mrs;Tyra;Knarvik;2311;Rugdestien;Gjøvik;Aust-Agder;Norway;3629;70.2673;-53.9911;+10:00;Eastern Australia, Guam, Vladivostok;f448555d-a728-47e8-a88e-cdeddc9c710d;yellowkoala737;eldorado;mBobAaNG;733091161ae17fbb652cc0ca9a08020a;7eb0ecd15ea3dc105cbded86e15a7a889d33b0c8;42740bc33d4fa1eaeb86a6417ad73af73e0b782e9ebc37130b96608f844f1d16;1960-02-19T17:13:06.731Z;64;2015-12-19T16:06:52.691Z;8;FN;19026028879;https://randomuser.me/api/portraits/women/11.jpg;https://randomuser.me/api/portraits/med/women/11.jpg;https://randomuser.me/api/portraits/thumb/women/11.jpg;17:45:22
female;greice.moura@example.com;(76) 0937-1652;(21) 9733-0928;BR;Ms;Greice;Moura;3812;Rua Boa Vista ;Bauru;Minas Gerais;Brazil;63268;33.5555;31.1751;-5:00;Eastern Time (US & Canada), Bogota, Lima;40bd3c50-7c6a-406e-965a-d8b229f60502;redpanda946;moscow;XvVTtXSf;efc38cb1fca938c71829a4341213a2a3;85ff8880ce2da70f025499278ca6c7f432222a5a;d8640ce5c15d924203390026b74a5f21b75b7040c6e222f461e7c12df46c5aad;1969-06-08T06:06:31.602Z;54;2018-07-18T18:31:55.713Z;5;CPF;543.074.091-85;https://randomuser.me/api/portraits/women/53.jpg;https://randomuser.me/api/portraits/med/women/53.jpg;https://randomuser.me/api/portraits/thumb/women/53.jpg;17:45:22
male;george.perez@example.com;02-9752-7525;0472-325-729;AU;Mr;George;Perez;5950;Central St;Bowral;New South Wales;Australia;4804;23.7111;-84.7541;-12:00;Eniwetok, Kwajalein;df49190c-b3b8-461f-919b-fed6d2d66c29;orangefish379;goforit;ZQrSY0D0;90619b581c522a75dbda3c5050e49e51;1600f754805edc7b62f8d0e0941ce559ef6f966f;fe96fb9e76e05ffef13963246547254c398ffee20de72bfbace61c0119ab4a7e;1994-08-03T23:24:34.181Z;29;2008-11-04T22:38:21.253Z;15;TFN;794057980;https://randomuser.me/api/portraits/men/72.jpg;https://randomuser.me/api/portraits/med/men/72.jpg;https://randomuser.me/api/portraits/thumb/men/72.jpg;17:45:22
male;nooa.ramo@example.com;08-285-618;047-124-60-45;FI;Mr;Nooa;Ramo;6679;Aleksanterinkatu;Pyhäjoki;Päijät-Häme;Finland;58552;-30.4025;70.9891;+9:00;Tokyo, Seoul, Osaka, Sapporo, Yakutsk;82d857f0-f3e8-4fde-a1be-182c9db5cd37;yellowelephant888;mayday;SMASqAGt;2dd77f155b2e31735db36d57fb6d5ebd;5c1945691937d641f95ad1d62c8c4443dfd2be0c;c022f6dcb3e578af71b0afff1ca7d9657ad201f0df5e6b5d3606018cb8b0b44e;1946-06-21T01:36:58.048Z;77;2021-08-17T06:47:28.107Z;2;HETU;NaNNA601undefined;https://randomuser.me/api/portraits/men/91.jpg;https://randomuser.me/api/portraits/med/men/91.jpg;https://randomuser.me/api/portraits/thumb/men/91.jpg;17:45:22
