gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
male;emile.roy@example.com;M83 N58-9144;D12 B38-2840;CA;Mr;Emile;Roy;3461;Vimy St;Enterprise;Ontario;Canada;P4K 9L2;-67.8519;-36.5461;-5:00;Eastern Time (US & Canada), Bogota, Lima;4c35f4a8-3410-408e-acb1-2b417d588ce3;redbutterfly240;sherry;nsgbbG4N;0f0beb3c6d7011716e2940ce86008352;6106cbba38e9e29c3423161983c92263b3ed0955;913e0935bdd75ca6ece17fd5a37dab7ea60904127e9c153dc6763e85e72ca47a;1984-10-19T21:25:19.620Z;39;2008-02-08T15:45:31.002Z;16;SIN;712962695;https://randomuser.me/api/portraits/men/10.jpg;https://randomuser.me/api/portraits/med/men/10.jpg;https://randomuser.me/api/portraits/thumb/men/10.jpg;17:54:32
female;alaides.souza@example.com;(81) 6329-3696;(48) 1138-0978;BR;Miss;Alaídes;Souza;2020;Avenida da Democracia;Ananindeua;São Paulo;Brazil;30367;-4.6091;-30.2120;+6:00;Almaty, Dhaka, Colombo;22305d3d-70e6-4ff0-8561-5d2b8eb876db;angrymouse314;cthulhu;kZK2UYbT;9e5f5bbe8854d6e7d1132e445dde0edc;6316c38c835da0239784cae30d32017e52897a2a;d28324eef2544955d7feb8b46252e419dec5ffd66df5a9d1103c986a5925a671;1969-09-01T20:25:14.851Z;54;2009-06-01T22:48:11.871Z;14;CPF;831.099.674-90;https://randomuser.me/api/portraits/women/37.jpg;https://randomuser.me/api/portraits/med/women/37.jpg;https://randomuser.me/api/portraits/thumb/women/37.jpg;17:54:32
female;mhrs.khrymy@example.com;032-14438712;0917-078-6514;IR;Mrs;مهرسا;کریمی;4711;نوفل لوشاتو;زنجان;لرستان;Iran;64804;-5.7460;-125.2969;+5:00;Ekaterinburg, Islamabad, Karachi, Tashkent;774eac93-f1e5-4f0b-ba47-9bb5e90efd10;tinyrabbit121;golden1;voR6zFlG;972b99da0def64a3565187a157c18a38;76ee322abefd3de506878ec47a7f102dc3ff5a37;dd7f54b061eb60aade38a148528e9e5147635b47aef6b4d0901991cfdb255485;1986-07-10T09:45:22.730Z;37;2021-09-18T04:09:50.712Z;2;;;https://randomuser.me/api/portraits/women/63.jpg;https://randomuser.me/api/portraits/med/women/63.jpg;https://randomuser.me/api/portraits/thumb/women/63.jpg;17:54:32
male;juri.jongste@example.com;(0498) 262469;(06) 53387035;NL;Mr;Juri;Jongste;7754;Gein-Noord;De Kiel;Flevoland;Netherlands;3362 QW;79.4188;-28.4953;+4:00;Abu Dhabi, Muscat, Baku, Tbilisi;83bb4c6c-13ea-449e-8976-e741d0f5c300;smalldog887;clarissa;uC6e4jxv;0007e939f55cb1918f8224f1f329d698;da3487916e8bd292b83daa09b38d2e334ebe5fb5;5115ee9ae045d2aea553ee71af6ed17897bc991b6dabaa93acbbf4e52079d81f;1961-05-29T20:18:45.671Z;62;2016-08-22T19:59:11.724Z;7;BSN;75414249;https://randomuser.me/api/portraits/men/45.jpg;https://randomuser.me/api/portraits/med/men/45.jpg;https://randomuser.me/api/portraits/thumb/men/45.jpg;17:54:32
male;joaquin.gamez@example.com;(688) 726 1550;(671) 317 2407;MX;Mr;Joaquín;Gamez;6661;Periférico Guerrero;Nicolás R. Casillas;Sinaloa;Mexico;26204;78.7474;-98.5298;-8:00;Pacific Time (US & Canada);2d9dbd0b-40a3-4756-92a4-3e5ae97d125d;yellowgoose453;dalton;7sayh16d;c856ac4da6b18db5c0bed273046cf89a;9ae2c8bceb8a281640da6eb87dfcf451eaebb336;f379f2bde9c6a4424e07d5701a7be563aa07fde417340251893ba9d1faa182cd;1993-12-05T21:59:28.731Z;30;2021-09-01T10:28:03.882Z;2;NSS;87 73 70 3730 2;https://randomuser.me/api/portraits/men/53.jpg;https://randomuser.me/api/portraits/med/men/53.jpg;https://randomuser.me/api/portraits/thumb/men/53.jpg;17:54:32
male;mathys.lefebvre@example.com;01-67-81-96-24;06-40-42-73-45;FR;Mr;Mathys;Lefebvre;8267;Rue des Cuirassiers;Lille;Aude;France;68589;-88.6725;169.9398;+8:00;Beijing, Perth, Singapore, Hong Kong;cdd520fe-ab7f-409f-bd8a-7d79953be682;purpleduck915;foot;8bWVt04p;9262f2e264b460bb6ae9092620b0da5f;2fc6d590b0c1b4de40cbc1c72cdbf8b20cb4e534;5c0934efbfbc18812d1776ba08f71519fad34cec62993a9369f9acc1d207305c;1946-01-28T13:46:25.097Z;78;2019-01-20T08:33:08.267Z;5;INSEE;1460066206138 72;https://randomuser.me/api/portraits/men/53.jpg;https://randomuser.me/api/portraits/med/men/53.jpg;https://randomuser.me/api/portraits/thumb/men/53.jpg;17:54:32
female;rachana.gatty@example.com;9367127635;7096471264;IN;Ms;Rachana;Gatty;690;Tank Bund Rd;Ongole;Odisha;India;88625;5.1956;-37.2282;-2:00;Mid-Atlantic;dc0bfa44-2765-4eb1-b3b0-be9817b0759c;smallfish789;bigblue;5Q1Zx7Oq;236f288edcb753ff57dffa0fa8236e6c;875b45e4c8ef93f3ec160362cff406d80ee18c9b;4fdb3d5364da275548ea6377f7bef999c33086518eabaef43398cd9a371e59ee;1952-10-15T18:48:46.518Z;71;2009-06-25T04:23:54.491Z;14;UIDAI;250925589467;https://randomuser.me/api/portraits/women/81.jpg;https://randomuser.me/api/portraits/med/women/81.jpg;https://randomuser.me/api/portraits/thumb/women/81.jpg;17:54:32
male;filip.roger@example.com;078 925 27 27;077 024 19 36;CH;Monsieur;Filip;Roger;3340;Rue de la Barre;Steinen;Aargau;Switzerland;6332;13.9364;-125.0441;+9:30;Adelaide, Darwin;2c57e1e2-653d-42d4-b7b0-1e0c8aa7fd3a;goldencat775;krista;nK8Dv5EL;ed5e3a93debab1d11b52a26380ab3db1;726ca8d2f98ae7ab57caa666c4207b78131a82aa;6b31cbd777a10ba635f4c317da1197ca4c81f5568701d12bf8b5fd0cbbf9b7fb;1966-05-12T12:31:37.486Z;57;2002-12-29T11:26:51.480Z;21;AVS;756.9463.3371.02;https://randomuser.me/api/portraits/men/5.jpg;https://randomuser.me/api/portraits/med/men/5.jpg;https://randomuser.me/api/portraits/thumb/men/5.jpg;17:54:32
male;jorge.hanson@example.com;07-5155-2058;0420-426-289;AU;Mr;Jorge;Hanson;157;Taylor St;Rockhampton;Australian Capital Territory;Australia;3486;-44.6830;-5.6894;+8:00;Beijing, Perth, Singapore, Hong Kong;bf8855dc-168c-4973-a37e-65a3ada2752a;bigwolf238;scorpion;O671nPqA;01ca7d9b52f04d7dd9741f8ea9cb6796;e27c1c7f2f1f54916f84a431d37b14c8a238a66e;a70d8f1cc64bed4bbf14a890dee2f62fa4b0812b26f2ccc8eabb08247a51dc94;1976-03-06T04:32:47.789Z;48;2016-04-05T04:09:03.546Z;8;TFN;518755013;https://randomuser.me/api/portraits/men/10.jpg;https://randomuser.me/api/portraits/med/men/10.jpg;https://randomuser.me/api/portraits/thumb/men/10.jpg;17:54:32
male;esteban.veliz@example.com;(621) 482 8162;(637) 663 9784;MX;Mr;Esteban;Véliz;3185;Corredor Mayorga;Palma Sola;Aguascalientes;Mexico;55135;49.9288;10.5712;+5:30;Bombay, Calcutta, Madras, New Delhi;c2f4061d-e04f-456d-b8dd-b4a1991c141b;smalllion346;masturbation;zb525rkn;31ff8f32bfeddfcf98a30aa2cd5c37a7;054196bcb26ca7cab16b3c130417b8c7c916ad37;5b5ccbfbd9725510874fffc31c0cba9ddf621e8ea5c2a25b8ec20459b7c2060b;1971-12-11T19:46:10.958Z;52;2004-12-17T16:41:10.675Z;19;NSS;24 12 50 1276 1;https://randomuser.me/api/portraits/men/10.jpg;https://randomuser.me/api/portraits/med/men/10.jpg;https://randomuser.me/api/portraits/thumb/men/10.jpg;17:54:32
