gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
male;adam.sorensen@example.com;22355334;26631982;DK;Mr;Adam;Sørensen;6881;Pile Alle;Agerbæk;Danmark;Denmark;43059;-44.3777;-80.7700;+7:00;Bangkok, Hanoi, Jakarta;0fdb9005-4943-477f-a460-f59534488557;greenbear959;doggy;qJsnCD9x;b15067b93452c6b5f98d28ae4b4b8816;149abd9fed18fb99c109b11e54294638afab4ae3;c60bc1319c3a8329f212d7253b465b27b89d37560d706ccd21ec98e57896dd47;1965-03-19T06:05:45.770Z;59;2014-02-08T13:45:42.349Z;10;CPR;190365-1080;https://randomuser.me/api/portraits/men/32.jpg;https://randomuser.me/api/portraits/med/men/32.jpg;https://randomuser.me/api/portraits/thumb/men/32.jpg;17:56:01
female;oona.kantola@example.com;07-347-127;046-216-21-33;FI;Ms;Oona;Kantola;8566;Fredrikinkatu;Kauhajoki;Central Ostrobothnia;Finland;50109;-53.6422;70.1868;-12:00;Eniwetok, Kwajalein;a51ee320-c05e-4b4e-8d14-17406d46707b;sadsnake345;juliette;qcAYrxCc;07c3954c1387e8c91bc7f1269a4718e9;63b8671cd59f3b47123446f607d9bb37065d6538;f061105bc489d381bb3d4f4400160a0cb4da1d0bbd4169f2ac4455276f2cd56d;1984-08-06T20:05:42.167Z;39;2013-02-05T01:22:45.698Z;11;HETU;NaNNA546undefined;https://randomuser.me/api/portraits/women/92.jpg;https://randomuser.me/api/portraits/med/women/92.jpg;https://randomuser.me/api/portraits/thumb/women/92.jpg;17:56:01
male;amar.negard@example.com;63907467;41877435;NO;Mr;Amar;Negård;9071;Olsens Enkes vei;Sørland;Oppland;Norway;1328;56.7227;-81.7494;+4:30;Kabul;b8fa57b2-3c93-42a4-a469-6ac109aead8b;brownsnake563;comet;NTIp5eoD;ab28003bcb3f94a0292d5c5b7244914f;589fd57f8646904edc130fcbb389dce979af701b;f3c8b9928f163acd869d055c32918cd7f5a0e3c7808d2cd6b53c62aaa86e0983;1996-04-22T21:41:12.305Z;28;2010-05-26T16:30:02.595Z;13;FN;22049609543;https://randomuser.me/api/portraits/men/4.jpg;https://randomuser.me/api/portraits/med/men/4.jpg;https://randomuser.me/api/portraits/thumb/men/4.jpg;17:56:01
female;neea.kivisto@example.com;04-871-969;046-160-81-75;FI;Miss;Neea;Kivisto;9302;Fredrikinkatu;Tarvasjoki;Southern Savonia;Finland;67040;24.7747;81.4394;-6:00;Central Time (US & Canada), Mexico City;83e13733-d8e6-4096-a0c7-ac22ecb648c2;tinyrabbit438;999999;6T2gWWEA;e83f11a849b0a9a4ffe9029498e38bc7;7c7e9869f8dd5a03abd2eefa9d6485cf34017d90;a26cf30dffca2dc129e04f3ebfa6d5054300a58bdf21ce9f4d827a0cff9f7e8f;2000-11-27T00:10:12.153Z;23;2006-06-06T17:00:38.795Z;17;HETU;NaNNA434undefined;https://randomuser.me/api/portraits/women/25.jpg;https://randomuser.me/api/portraits/med/women/25.jpg;https://randomuser.me/api/portraits/thumb/women/25.jpg;17:56:01
female;meghan.pearson@example.com;(396) 606-7878;(494) 671-2822;US;Ms;Meghan;Pearson;990;Samaritan Dr;Bridgeport;New York;United States;22771;-22.4630;138.7381;+3:30;Tehran;a513e2dd-aebd-41cc-b60e-c6f344dc1e9e;angryfrog750;edison;agLvZaLr;58f0e769de6ebf30070888fc5056c388;4438934d4ead6592a7ec4664fa80cae7c07dab33;03875c6d4a7d7f7fc28593adf8d246dca080010829eba700289dbd9f01fd1236;1990-11-19T18:09:11.559Z;33;2021-04-17T08:42:09.336Z;3;SSN;613-31-5326;https://randomuser.me/api/portraits/women/15.jpg;https://randomuser.me/api/portraits/med/women/15.jpg;https://randomuser.me/api/portraits/thumb/women/15.jpg;17:56:01
female;susanna.west@example.com;0171 326 0162;07105 335718;GB;Ms;Susanna;West;8294;The Crescent;Lisburn;North Yorkshire;United Kingdom;I8 5AQ;32.0112;-111.8968;+9:30;Adelaide, Darwin;90e2b875-7f9a-4ac9-9b1a-20195d094505;smallwolf476;joshua;6tqfkKwC;140539c4dca49c70df8a6e01dc70824a;47a377699505a5d9b89d5b6badbaa5b04dc54a37;8da9f7cc1a50fbfddbf3ab19efeb215836eb409295a984bcf59037619064a650;1978-09-01T03:50:35.138Z;45;2018-01-04T08:51:56.881Z;6;NINO;NG 07 07 44 G;https://randomuser.me/api/portraits/women/79.jpg;https://randomuser.me/api/portraits/med/women/79.jpg;https://randomuser.me/api/portraits/thumb/women/79.jpg;17:56:01
male;malik.young@example.com;N66 G28-6901;T14 N37-8301;CA;Mr;Malik;Young;7345;Lake of Bays Road;Lasalle;Prince Edward Island;Canada;G2B 9L6;40.0462;113.2596;0:00;Western Europe Time, London, Lisbon, Casablanca;f23e981a-bdcd-45e6-9b13-d33a26429649;whitecat817;junebug;OZUVaPfh;c5bd10f73d467544d554df41784b8483;4625705e33be4098681afaa0083dfdfcb0eb76ea;df0fe1cab8cdfb09c3a393a1cf9f93549f1a56791edc9d210e2acf2a409cd936;1979-12-06T16:37:25.225Z;44;2018-04-07T22:42:16.238Z;6;SIN;929381762;https://randomuser.me/api/portraits/men/97.jpg;https://randomuser.me/api/portraits/med/men/97.jpg;https://randomuser.me/api/portraits/thumb/men/97.jpg;17:56:01
female;iris.nydal@example.com;36978220;49133889;NO;Ms;Iris;Nydal;6327;Nøklevannsveien;Evenskjær;Hedmark;Norway;0367;-10.7933;62.8886;-8:00;Pacific Time (US & Canada);effedd7a-be54-4129-977d-e69cd1ad95d0;bigbear284;young;hgV0nbUc;af60c2747abc22beed32e0cbcd768ab3;54ba97325019a23828dfd9b7a6c80a75794ac01c;7fb7c132b48f9821f45260563a8161c94409aadc9a645a4cdef7c71be2b642af;1963-07-02T14:02:43.566Z;60;2017-09-28T10:17:57.063Z;6;FN;02076327044;https://randomuser.me/api/portraits/women/56.jpg;https://randomuser.me/api/portraits/med/women/56.jpg;https://randomuser.me/api/portraits/thumb/women/56.jpg;17:56:01
male;jasmim.freitas@example.com;(80) 3819-6173;(75) 7290-3453;BR;Mr;Jasmim;Freitas;1145;Rua São Jorge ;Corumbá;Distrito Federal;Brazil;64105;34.9593;83.9770;-3:30;Newfoundland;fc5f8631-0f63-4574-9b00-b4490393d96b;organicbutterfly903;nimrod;y4ABnzLm;898bb88ba6dfef7403a025f2501e48dd;ae9557a42fb27b864eff88f1474b15cb76b546e3;85ec9103de23712e32687fb585bbfaa8650ea4d6b200360945f1915c6b2c4289;1987-07-05T22:35:44.349Z;36;2022-04-21T20:28:37.282Z;2;CPF;060.606.929-69;https://randomuser.me/api/portraits/men/68.jpg;https://randomuser.me/api/portraits/med/men/68.jpg;https://randomuser.me/api/portraits/thumb/men/68.jpg;17:56:01
male;gerardo.perez@example.com;921-931-421;686-047-394;ES;Mr;Gerardo;Pérez;2795;Calle de Segovia;Barcelona;Comunidad Valenciana;Spain;17073;78.0340;-25.7676;-8:00;Pacific Time (US & Canada);f22a6e8b-79f3-4454-8a02-6ea0417d1d9f;angrymeercat892;bobobo;EKtnfOhB;3cff2bd237ad177237e05de8ed73a949;3aec7612ec5763127d7ef11263f9d4d26d188133;2d62e3211f907776897e7dca73a5d3ded12bb6d28ca707228689f9d766c64e05;1963-12-02T03:19:52.253Z;60;2022-04-06T10:52:51.832Z;2;DNI;44982894-I;https://randomuser.me/api/portraits/men/18.jpg;https://randomuser.me/api/portraits/med/men/18.jpg;https://randomuser.me/api/portraits/thumb/men/18.jpg;17:56:01
